指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,2006-08-31,1619.640000,1658.640000,1541.410000,1667.530000,63174390200.000000,342440440100.000000,0.028467
sh000001,2006-09-29,1658.660000,1752.420000,1634.030000,1755.690000,78239199800.000000,427197982800.000000,0.056540
sh000001,2006-10-31,1768.140000,1837.990000,1753.490000,1842.730000,80209931300.000000,432545863700.000000,0.048830
sh000001,2006-11-30,1838.680000,2099.290000,1833.200000,2102.060000,119331448000.000000,688378326500.000000,0.142166
sh000001,2006-12-29,2106.300000,2675.470000,2084.270000,2698.900000,162657736800.000000,1024335730800.000000,0.274464
sh000001,2007-01-31,2728.190000,2786.340000,2617.020000,2994.280000,231772809800.000000,1719901745400.000000,0.041439
sh000001,2007-02-28,2744.810000,2881.070000,2541.530000,3049.770000,147265707700.000000,1164619894300.000000,0.033998
sh000001,2007-03-30,2877.200000,3183.980000,2723.070000,3273.730000,243630441900.000000,2108467982900.000000,0.105138
sh000001,2007-04-30,3196.590000,3841.270000,3196.590000,3851.350000,291092879200.000000,3200578540600.000000,0.206437
sh000001,2007-05-31,3937.940000,4109.650000,3845.230000,4335.960000,291421034400.000000,3928176000000.000000,0.069868
sh000001,2007-06-29,4120.630000,3820.700000,3404.150000,4312.000000,265021802200.000000,3532887000000.000000,-0.070310
sh000001,2007-07-31,3800.230000,4471.030000,3563.540000,4476.630000,169546531500.000000,2158545314200.000000,0.170212
sh000001,2007-08-31,4488.770000,5218.830000,4284.870000,5235.160000,240792867800.000000,3559761000000.000000,0.167255
sh000001,2007-09-28,5257.780000,5552.300000,5025.340000,5560.420000,191885545300.000000,3046096707800.000000,0.063897
sh000001,2007-10-31,5683.310000,5954.770000,5462.010000,6124.040000,134066493400.000000,2410241995800.000000,0.072487
sh000001,2007-11-30,5978.940000,4871.780000,4778.730000,6005.130000,100700589100.000000,1738951728000.000000,-0.181869
sh000001,2007-12-28,4838.560000,5261.560000,4798.010000,5336.500000,125150564000.000000,1973214832200.000000,0.080008
sh000001,2008-01-31,5265.000000,4383.390000,4330.700000,5522.780000,177173032700.000000,3075451015900.000000,-0.166903
sh000001,2008-02-29,4388.250000,4348.540000,4123.310000,4695.800000,86116985100.000000,1422832737300.000000,-0.007950
sh000001,2008-03-31,4323.700000,3472.710000,3357.230000,4472.150000,129091626700.000000,1941459028400.000000,-0.201408
sh000001,2008-04-30,3461.090000,3693.110000,2990.790000,3705.090000,136806175600.000000,1863261964200.000000,0.063466
sh000001,2008-05-30,3739.800000,3433.350000,3333.950000,3786.020000,142480818900.000000,1977526089300.000000,-0.070336
sh000001,2008-06-30,3426.200000,2736.100000,2693.400000,3483.610000,101834965300.000000,1129295082600.000000,-0.203082
sh000001,2008-07-31,2743.160000,2775.720000,2566.530000,2952.040000,144977432300.000000,1529942217400.000000,0.014480
sh000001,2008-08-29,2751.020000,2397.370000,2284.590000,2830.760000,91522163100.000000,787334388400.000000,-0.136307
sh000001,2008-09-26,2380.470000,2293.780000,1802.330000,2380.470000,106061227700.000000,810081124800.000000,-0.043210
sh000001,2008-10-31,2267.390000,1728.790000,1664.930000,2267.390000,101996557100.000000,731631775000.000000,-0.246314
sh000001,2008-11-28,1713.760000,1871.160000,1678.960000,2050.880000,182702364400.000000,1183822876600.000000,0.082352
sh000001,2008-12-31,1865.740000,1820.810000,1814.750000,2100.810000,227540566400.000000,1562954721700.000000,-0.026908
sh000001,2009-01-23,1849.020000,1990.660000,1844.090000,2018.510000,135002750000.000000,974669491500.000000,0.093283
sh000001,2009-02-27,2008.130000,2082.850000,1987.130000,2402.810000,324394536400.000000,2633632509300.000000,0.046311
sh000001,2009-03-31,2066.230000,2373.210000,2037.020000,2392.770000,287186206800.000000,2502941208200.000000,0.139405
sh000001,2009-04-30,2380.980000,2477.570000,2331.880000,2579.220000,317754212400.000000,3006596146500.000000,0.043974
sh000001,2009-05-27,2486.690000,2632.930000,2486.230000,2688.110000,247149454700.000000,2418629250400.000000,0.062707
sh000001,2009-06-30,2668.400000,2959.360000,2668.400000,2997.270000,297823536800.000000,3082505000000.000000,0.123980
sh000001,2009-07-31,2950.170000,3412.060000,2947.690000,3454.020000,416594302400.000000,4727601000000.000000,0.152972
sh000001,2009-08-31,3429.690000,2667.750000,2663.000000,3478.010000,290961434500.000000,3333280000000.000000,-0.218141
sh000001,2009-09-30,2649.170000,2779.430000,2639.760000,3068.030000,258009277900.000000,2830022197800.000000,0.041863
sh000001,2009-10-30,2840.130000,2995.850000,2834.620000,3123.460000,176734400300.000000,1998262659100.000000,0.077865
sh000001,2009-11-30,2933.820000,3195.300000,2923.530000,3361.390000,342999093200.000000,3908845000000.000000,0.066575
sh000001,2009-12-31,3191.060000,3277.140000,3039.860000,3334.010000,269095633800.000000,3191410324400.000000,0.025613
sh000001,2010-01-29,3289.750000,2989.290000,2963.890000,3306.750000,235567903400.000000,2907733725200.000000,-0.087836
sh000001,2010-02-26,2981.370000,3051.940000,2890.020000,3067.530000,122554105100.000000,1429057607500.000000,0.020958
sh000001,2010-03-31,3057.010000,3109.110000,2963.440000,3132.580000,214915938600.000000,2527192445600.000000,0.018732
sh000001,2010-04-30,3111.940000,2870.610000,2820.950000,3181.660000,229744651400.000000,2875408000000.000000,-0.076710
sh000001,2010-05-31,2821.350000,2592.150000,2481.970000,2862.560000,166994833900.000000,1864426641157.000000,-0.097005
sh000001,2010-06-30,2577.760000,2398.370000,2382.360000,2598.900000,122570128600.000000,1295725843817.000000,-0.074755
sh000001,2010-07-30,2393.950000,2637.500000,2319.740000,2656.410000,190747404700.000000,1749556276755.000000,0.099706
sh000001,2010-08-31,2635.810000,2638.800000,2564.840000,2701.930000,240948800600.000000,2474387001845.000000,0.000491
sh000001,2010-09-30,2641.050000,2655.660000,2573.630000,2704.930000,204526103600.000000,2349748319444.000000,0.006389
sh000001,2010-10-29,2681.250000,2978.840000,2677.990000,3073.380000,297014940300.000000,3684207000000.000000,0.121694
sh000001,2010-11-30,2986.890000,2820.180000,2758.920000,3186.720000,353400190700.000000,4578968000000.000000,-0.053260
sh000001,2010-12-31,2810.540000,2808.080000,2721.480000,2939.050000,211966345300.000000,2647071125304.000000,-0.004292
sh000001,2011-01-31,2825.330000,2790.690000,2661.450000,2868.010000,172827304500.000000,2024148945231.000000,-0.006190
sh000001,2011-02-28,2795.070000,2905.050000,2760.180000,2944.410000,175649129400.000000,2163623971270.000000,0.040979
